epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7608,1.326,3.85816,1.18518,0.00181,0.3,0.12868,0.09685,0.98099,4.13367,1.12128,0.00017271,0.00017271,0.00017271
2,54.7958,1.06036,2.45411,1.10138,0.01003,0.73333,0.37029,0.29065,0.961,3.35647,1.02833,0.000319414,0.000319414,0.000319414
3,82.0423,0.95542,2.17407,1.07044,0.69463,0.20965,0.58844,0.39629,0.96247,2.86211,1.03,0.000430121,0.000430121,0.000430121
4,109.103,0.89851,1.63167,0.99984,0.71367,0.43523,0.68625,0.52453,0.92263,2.02526,0.98059,0.000504831,0.000504831,0.000504831
5,136.805,0.91078,1.39191,1.06533,0.49551,0.8936,0.75888,0.56729,0.86598,1.77468,1.05925,0.000543546,0.000543546,0.000543546
6,163.857,0.92215,1.29559,1.06242,0.72963,0.69371,0.78238,0.56885,0.93886,1.55494,1.07042,0.000459045,0.000459045,0.000459045
7,191.172,0.82749,1.20709,1.00964,0.68084,0.95238,0.77353,0.5987,0.8501,1.36083,1.07885,0.000369054,0.000369054,0.000369054
8,218.014,0.8493,1.22385,1.00981,0.7287,0.81904,0.8744,0.66793,0.84501,1.20981,1.0826,0.000279063,0.000279063,0.000279063
9,245.278,0.79181,1.05047,0.98504,0.87832,0.82915,0.90546,0.6975,0.82274,1.08067,1.06133,0.000189072,0.000189072,0.000189072
10,272.282,0.78119,1.00915,0.98762,0.87722,0.8204,0.90178,0.71348,0.80324,1.05071,1.06186,9.9081e-05,9.9081e-05,9.9081e-05
